,id,p,rep
0,1,0.001,0
1,2,0.001,1
2,3,0.001,2
3,4,0.0025,0
4,5,0.0025,1
5,6,0.0025,2
6,7,0.005,0
7,8,0.005,1
8,9,0.005,2
9,10,0.01,0
10,11,0.01,1
11,12,0.01,2
12,13,0.025,0
13,14,0.025,1
14,15,0.025,2
15,16,0.05,0
16,17,0.05,1
17,18,0.05,2
18,19,0.075,0
19,20,0.075,1
20,21,0.075,2
21,22,0.1,0
22,23,0.1,1
23,24,0.1,2
24,25,0.125,0
25,26,0.125,1
26,27,0.125,2
27,28,0.15,0
28,29,0.15,1
29,30,0.15,2
30,31,0.175,0
31,32,0.175,1
32,33,0.175,2
33,34,0.2,0
34,35,0.2,1
35,36,0.2,2
36,37,0.25,0
37,38,0.25,1
38,39,0.25,2
39,40,0.3,0
40,41,0.3,1
41,42,0.3,2
42,43,0.4,0
43,44,0.4,1
44,45,0.4,2
45,46,0.5,0
46,47,0.5,1
47,48,0.5,2
48,49,0.6,0
49,50,0.6,1
50,51,0.6,2
51,52,0.7,0
52,53,0.7,1
53,54,0.7,2
54,55,0.8,0
55,56,0.8,1
56,57,0.8,2
57,58,0.9,0
58,59,0.9,1
59,60,0.9,2
