,id,dataset,p_training,model,r2,rmse,n_test,mll,n_train
0,1,aav,0.001,Additive,0.1269322012480274,2.844028821362154,10000,-94.4231086730957,37
1,2,aav,0.001,Additive,0.12811760881682716,2.8540504787647856,10000,-106.00869140625,44
2,3,aav,0.001,Additive,0.2346533015892589,2.691918694009511,10000,-119.84647979736329,49
3,4,aav,0.0025,Additive,0.2806204702228008,2.580822949844779,10000,-253.14473571777344,99
4,5,aav,0.0025,Additive,0.3151860478976924,2.5082891559448743,10000,-271.5754333496094,109
5,6,aav,0.0025,Additive,0.3186430566983502,2.5349586632931116,10000,-315.7288055419922,131
6,7,aav,0.005,Additive,0.38190528955157294,2.397270473325841,10000,-503.3403381347656,207
7,8,aav,0.005,Additive,0.3739096600727889,2.418312581914178,10000,-450.50965576171876,192
8,9,aav,0.005,Additive,0.3594918748756119,2.447389721996791,10000,-488.2846435546875,210
9,10,aav,0.01,Additive,0.39783071450263247,2.391349327978966,10000,-1031.7395385742188,444
10,11,aav,0.01,Additive,0.42615437972513864,2.2978890055588916,10000,-980.0149353027343,412
11,12,aav,0.01,Additive,0.3942667185239388,2.3690995987616468,10000,-980.7600769042969,414
12,13,aav,0.025,Additive,0.4812817277964013,2.238310911288863,10000,-2468.6261474609373,1108
13,14,aav,0.025,Additive,0.4870536915239291,2.190214774028653,10000,-2363.925634765625,1043
14,15,aav,0.025,Additive,0.47453371118621057,2.227343753962978,10000,-2298.05439453125,1008
15,16,aav,0.05,Additive,0.5067609930675682,2.1383098792620925,10000,-4713.90546875,2123
16,17,aav,0.05,Additive,0.5018908437165793,2.160899285855777,10000,-4767.9490234375,2165
17,18,aav,0.05,Additive,0.49533321310314943,2.1943028684155625,10000,-4706.05361328125,2120
18,19,aav,0.075,Additive,0.5355912023945233,2.088536634327173,10000,-6862.278076171875,3120
19,20,aav,0.075,Additive,0.5310370617204304,2.0927741725209756,10000,-7062.7015625,3206
20,21,aav,0.075,Additive,0.5248097906520307,2.1065591088495443,10000,-7166.271728515625,3253
21,22,aav,0.1,Additive,0.5450977280808592,2.059819894091732,10000,-9191.20361328125,4237
22,23,aav,0.1,Additive,0.538031904364777,2.0826625791826774,10000,-9318.89892578125,4240
23,24,aav,0.1,Additive,0.5368943114767596,2.076369798464515,10000,-9186.40341796875,4233
24,25,aav,0.125,Additive,0.5266219164845273,2.104181880057841,10000,-11338.766796875,5238
25,26,aav,0.125,Additive,0.5489802849891432,2.044252453058909,10000,-11218.34443359375,5163
26,27,aav,0.125,Additive,0.5443419739562074,2.0630431290869513,10000,-11585.058984375,5326
27,28,aav,0.15,Additive,0.5458249931948238,2.051770797471476,10000,-13461.17646484375,6204
28,29,aav,0.15,Additive,0.5425357555932921,2.067741355794164,10000,-13731.5501953125,6372
29,30,aav,0.15,Additive,0.5521992461495046,2.0398393151206418,10000,-13479.79931640625,6228
30,31,aav,0.175,Additive,0.5476355757414341,2.0556738749417054,10000,-15827.7126953125,7350
31,32,aav,0.175,Additive,0.561375051709664,2.013233114006403,10000,-16204.035546875,7512
32,33,aav,0.175,Additive,0.5486990828433264,2.058188661919721,10000,-15915.77431640625,7382
33,34,aav,0.2,Additive,0.5537761247773735,2.041005152812762,10000,-18114.908203125,8467
34,35,aav,0.2,Additive,0.5506688014976727,2.0430190086483306,10000,-17873.8978515625,8262
35,36,aav,0.2,Additive,0.5519963054935728,2.0318418410381964,10000,-18201.152734375,8405
36,37,aav,0.25,Additive,0.5583045589695325,2.033038164780877,10000,-22301.73984375,10447
37,38,aav,0.25,Additive,0.5527398013539162,2.0504025553270084,10000,-22492.3962890625,10535
38,39,aav,0.25,Additive,0.566907239641252,2.016027953629804,10000,-22688.875,10532
39,40,aav,0.3,Additive,0.5667259086149716,2.006131696660721,10000,-27318.609765625,12747
40,41,aav,0.3,Additive,0.5618911297359015,2.019774654186291,10000,-27205.807421875,12696
41,42,aav,0.3,Additive,0.5625807940495257,2.012632384137177,10000,-27095.618359375,12657
42,43,aav,0.4,Additive,0.5679038628086104,1.9957931973534049,10000,-36166.39921875,16917
43,44,aav,0.4,Additive,0.5687692525324672,2.000429723640708,10000,-35759.913671875,16783
44,45,aav,0.4,Additive,0.5646748435846755,2.005804303055204,10000,-36263.21484375,17027
45,46,aav,0.5,Additive,0.5685092319017117,2.002623572479134,10000,-44969.4609375,21118
46,47,aav,0.5,Additive,0.5757080093701048,2.000839971049754,10000,-44757.558203125,21022
47,48,aav,0.5,Additive,0.57075098842479,1.9997804924521194,10000,-44851.66015625,21053
48,49,aav,0.6,Additive,0.5675696617651623,2.004375044270932,10000,-54193.934375,25536
49,50,aav,0.6,Additive,0.5720251719621331,1.9958671873302274,10000,-54142.071484375,25441
50,51,aav,0.6,Additive,0.5739490046126173,1.9976327458560943,10000,-54175.945703125,25452
51,52,aav,0.7,Additive,0.5711048323775845,1.997570781133601,10000,-63147.64375,29818
52,53,aav,0.7,Additive,0.5726943819161725,1.9914045593798781,10000,-62782.428125,29548
53,54,aav,0.7,Additive,0.568678875075349,1.9813244625550903,10000,-62847.18828125,29576
54,55,aav,0.8,Additive,0.5718616601230986,2.008588612836922,8484,-71682.40703125,33845
55,56,aav,0.8,Additive,0.5783045602384004,1.9744900246649282,8429,-71966.3078125,33900
56,57,aav,0.8,Additive,0.5698761860534934,2.010283923433631,8524,-71581.6203125,33805
57,58,aav,0.9,Additive,0.5551281523732167,2.0118565474631804,4352,-80444.47734375,37977
58,59,aav,0.9,Additive,0.5747239482896187,1.9806732329586325,4205,-80771.0859375,38124
59,60,aav,0.9,Additive,0.5676458123742135,1.9976275687034215,4233,-80681.86875,38096
60,1,aav,0.001,Global epistasis,0.048826593414974265,3.161060905567005,10000,,37
61,2,aav,0.001,Global epistasis,0.07549213656261033,3.0955831183438245,10000,,44
62,3,aav,0.001,Global epistasis,0.11277065565414793,2.9590121524639685,10000,,49
63,4,aav,0.0025,Global epistasis,0.07162730422259087,3.4155617685771853,10000,,99
64,5,aav,0.0025,Global epistasis,0.06924965083062783,3.4812822030809203,10000,,109
65,6,aav,0.0025,Global epistasis,0.04397389231793883,3.66636597469484,10000,,131
66,7,aav,0.005,Global epistasis,0.06568746412221531,3.805662863540357,10000,,207
67,8,aav,0.005,Global epistasis,0.09534882075732462,3.600397667563221,10000,,192
68,9,aav,0.005,Global epistasis,0.096568414314385,3.5936416597425715,10000,,210
69,10,aav,0.01,Global epistasis,0.09929163677781273,3.9803271307021575,10000,,444
70,11,aav,0.01,Global epistasis,0.07406573013617092,5.645673021066339,10000,,412
71,12,aav,0.01,Global epistasis,0.04767850002987338,4.78053497238751,10000,,414
72,13,aav,0.025,Global epistasis,0.29920846714632165,2.9909815976142684,10000,,1108
73,14,aav,0.025,Global epistasis,0.2713846720256486,3.0864921394399576,10000,,1043
74,15,aav,0.025,Global epistasis,0.24898331204213017,3.1630719502700377,10000,,1008
75,16,aav,0.05,Global epistasis,0.5075078451931517,2.2836075462172745,10000,,2123
76,17,aav,0.05,Global epistasis,0.5057911676991189,2.28301439800746,10000,,2165
77,18,aav,0.05,Global epistasis,0.5039701780990895,2.3170499954299406,10000,,2120
78,19,aav,0.075,Global epistasis,0.6211334359604337,1.9346386143864893,10000,,3120
79,20,aav,0.075,Global epistasis,0.5917091616945969,2.009827010162618,10000,,3206
80,21,aav,0.075,Global epistasis,0.606814404553555,1.9735954049747801,10000,,3253
81,22,aav,0.1,Global epistasis,0.6657146946972217,1.8026270151325279,10000,,4237
82,23,aav,0.1,Global epistasis,0.6573073263157868,1.8250605218656386,10000,,4240
83,24,aav,0.1,Global epistasis,0.6671544850716433,1.7885813670600057,10000,,4233
84,25,aav,0.125,Global epistasis,0.6767714465396598,1.7592134915801516,10000,,5238
85,26,aav,0.125,Global epistasis,0.7043806629418452,1.6709944261012109,10000,,5163
86,27,aav,0.125,Global epistasis,0.6722985527130304,1.773933205045147,10000,,5326
87,28,aav,0.15,Global epistasis,0.7056450076528692,1.6672493767556045,10000,,6204
88,29,aav,0.15,Global epistasis,0.7056071505588069,1.671562778257099,10000,,6372
89,30,aav,0.15,Global epistasis,0.723093182741747,1.6172082711143376,10000,,6228
90,31,aav,0.175,Global epistasis,0.7313137065029296,1.5909814515581486,10000,,7350
91,32,aav,0.175,Global epistasis,0.7135201969506497,1.6396230100051659,10000,,7512
92,33,aav,0.175,Global epistasis,0.7285462951798222,1.59990838639366,10000,,7382
93,34,aav,0.2,Global epistasis,0.732018044848667,1.5862265746247008,10000,,8467
94,35,aav,0.2,Global epistasis,0.7299044744720907,1.590785158007079,10000,,8262
95,36,aav,0.2,Global epistasis,0.722119566239459,1.6093512703012098,10000,,8405
96,37,aav,0.25,Global epistasis,0.760955797515307,1.4968652619300087,10000,,10447
97,38,aav,0.25,Global epistasis,0.7545968490606993,1.5207534339745377,10000,,10535
98,39,aav,0.25,Global epistasis,0.7615365946420521,1.4978137633443045,10000,,10532
99,40,aav,0.3,Global epistasis,0.7725450504979565,1.4542028931961613,10000,,12747
100,41,aav,0.3,Global epistasis,0.7519833891437154,1.523093892671656,10000,,12696
101,42,aav,0.3,Global epistasis,0.7572807284971961,1.5007180440895913,10000,,12657
102,43,aav,0.4,Global epistasis,0.7700288793483661,1.4651246302810934,10000,,16917
103,44,aav,0.4,Global epistasis,0.7574248921339161,1.5025710187854167,10000,,16783
104,45,aav,0.4,Global epistasis,0.7716517954067078,1.4532867606096165,10000,,17027
105,46,aav,0.5,Global epistasis,0.7771509995367867,1.4390868866240498,10000,,21118
106,47,aav,0.5,Global epistasis,0.778361873958716,1.4461865947659776,10000,,21022
107,48,aav,0.5,Global epistasis,0.7636732662427671,1.4845676400419137,10000,,21053
108,49,aav,0.6,Global epistasis,0.7801441454055997,1.429483972875299,10000,,25536
109,50,aav,0.6,Global epistasis,0.7778515282592114,1.4385438016347103,10000,,25441
110,51,aav,0.6,Global epistasis,0.7794361020657524,1.43747498022136,10000,,25452
111,52,aav,0.7,Global epistasis,0.776990977084934,1.440661728069175,10000,,29818
112,53,aav,0.7,Global epistasis,0.7757257198589061,1.4417638168236708,10000,,29548
113,54,aav,0.7,Global epistasis,0.7760197532391052,1.4294408130212342,10000,,29576
114,55,aav,0.8,Global epistasis,0.7907358240826274,1.4032193202094585,8484,,33845
115,56,aav,0.8,Global epistasis,0.784429571269491,1.4101413298938703,8429,,33900
116,57,aav,0.8,Global epistasis,0.7811082910569016,1.4329183919327935,8524,,33805
117,58,aav,0.9,Global epistasis,0.7822889629809695,1.4049887854377536,4352,,37977
118,59,aav,0.9,Global epistasis,0.7874745731741658,1.400190869878975,4205,,38124
119,60,aav,0.9,Global epistasis,0.7822408823055351,1.4171486283604742,4233,,38096
120,1,aav,0.001,Pairwise,0.191654663499525,2.7379993902166384,10000,-93.2968147277832,37
121,2,aav,0.001,Pairwise,0.19035990098492622,2.756456921502584,10000,-105.26337966918945,44
122,3,aav,0.001,Pairwise,0.312442850126897,2.5686376904545334,10000,-118.66328430175781,49
123,4,aav,0.0025,Pairwise,0.3732761961872777,2.4112335567956698,10000,-249.13995208740235,99
124,5,aav,0.0025,Pairwise,0.406259233320753,2.339035393596931,10000,-265.7762390136719,109
125,6,aav,0.0025,Pairwise,0.4026537616288284,2.3770006679873634,10000,-309.4654602050781,131
126,7,aav,0.005,Pairwise,0.4814158308031775,2.1959173119335076,10000,-494.59027099609375,207
127,8,aav,0.005,Pairwise,0.45970066588987346,2.247356791260826,10000,-442.1394958496094,192
128,9,aav,0.005,Pairwise,0.44287736456603793,2.2814706618307183,10000,-478.2412841796875,210
129,10,aav,0.01,Pairwise,0.5267464067960869,2.100397640129432,10000,-1013.1576049804687,444
130,11,aav,0.01,Pairwise,0.5346261844741891,2.070657140508674,10000,-951.1971923828125,412
131,12,aav,0.01,Pairwise,0.4964546518193451,2.1602532164875865,10000,-955.0461730957031,414
132,13,aav,0.025,Pairwise,0.6024552860729463,1.9569682107457105,10000,-2370.8151123046873,1108
133,14,aav,0.025,Pairwise,0.6069285405791824,1.9227240453531633,10000,-2279.7878173828126,1043
134,15,aav,0.025,Pairwise,0.608164338096071,1.9266692917885035,10000,-2213.4638916015624,1008
135,16,aav,0.05,Pairwise,0.6376715271668995,1.8364788751231929,10000,-4495.247509765625,2123
136,17,aav,0.05,Pairwise,0.6413867413310408,1.8445337442181984,10000,-4515.20107421875,2165
137,18,aav,0.05,Pairwise,0.6364700806524141,1.8758700127189947,10000,-4469.077734375,2120
138,19,aav,0.075,Pairwise,0.677599068091672,1.74838703451717,10000,-6457.601904296875,3120
139,20,aav,0.075,Pairwise,0.6782491146553399,1.736771068668962,10000,-6643.091796875,3206
140,21,aav,0.075,Pairwise,0.6725558964242573,1.7570724765813213,10000,-6732.988720703125,3253
141,22,aav,0.1,Pairwise,0.6849932181182032,1.7306807887347966,10000,-8605.8794921875,4237
142,23,aav,0.1,Pairwise,0.6899216035005247,1.7111056549878596,10000,-8744.46064453125,4240
143,24,aav,0.1,Pairwise,0.6882060578968178,1.711168673529187,10000,-8621.33134765625,4233
144,25,aav,0.125,Pairwise,0.6816693657298561,1.7304520516107362,10000,-10541.6203125,5238
145,26,aav,0.125,Pairwise,0.6967390861357692,1.6810878378289593,10000,-10471.81650390625,5163
146,27,aav,0.125,Pairwise,0.6949233279750667,1.69454679190221,10000,-10776.43720703125,5326
147,28,aav,0.15,Pairwise,0.7029701955838428,1.6682011195186357,10000,-12434.37978515625,6204
148,29,aav,0.15,Pairwise,0.7023733535633017,1.6731173572661153,10000,-12814.2908203125,6372
149,30,aav,0.15,Pairwise,0.7061789827797034,1.6573550630492355,10000,-12475.86181640625,6228
150,31,aav,0.175,Pairwise,0.707122569154691,1.6680648160110598,10000,-14601.550390625,7350
151,32,aav,0.175,Pairwise,0.7166778502307962,1.6258983471748538,10000,-14992.4427734375,7512
