,id,dataset,p_training,model,r2,rmse,n_test,mll,n_train
0,1,gb1,0.001,Additive,0.31999546097467674,1.3777382823111406,10000,-278.1972381591797,142
1,2,gb1,0.001,Additive,0.31346632762419596,1.3435031245240714,10000,-256.0898864746094,139
2,3,gb1,0.001,Additive,0.20511906488903678,1.4889293020391128,10000,-272.3301239013672,158
3,4,gb1,0.0025,Additive,0.3741108556069436,1.3229443422537879,10000,-618.2440368652344,352
4,5,gb1,0.0025,Additive,0.37781893695781354,1.246831671183986,10000,-632.1324157714844,350
5,6,gb1,0.0025,Additive,0.4011838443532445,1.2616267226808877,10000,-650.772607421875,349
6,7,gb1,0.005,Additive,0.4310856015360285,1.2059119388202393,10000,-1315.7814697265626,754
7,8,gb1,0.005,Additive,0.4451804838026995,1.2403290200502946,10000,-1347.2614990234374,764
8,9,gb1,0.005,Additive,0.43946760992222705,1.2231028865475617,10000,-1319.4720336914063,743
9,10,gb1,0.01,Additive,0.46286707102531033,1.195612507305783,10000,-2600.9884765625,1522
10,11,gb1,0.01,Additive,0.4706719629476613,1.1843669772090553,10000,-2554.7113525390623,1496
11,12,gb1,0.01,Additive,0.4556465848539435,1.1888217021921366,10000,-2372.468115234375,1434
12,13,gb1,0.025,Additive,0.4624547003854856,1.1810573611979582,10000,-6115.719873046875,3710
13,14,gb1,0.025,Additive,0.49333331127059243,1.1626005457595632,10000,-6311.249169921875,3833
14,15,gb1,0.025,Additive,0.47923992913086566,1.172222130842812,10000,-6070.292724609375,3677
15,16,gb1,0.05,Additive,0.47611949608330045,1.1581992506006162,10000,-12474.28271484375,7620
16,17,gb1,0.05,Additive,0.47825301308488166,1.1824722538405381,10000,-12413.54892578125,7482
17,18,gb1,0.05,Additive,0.47890833712672676,1.1848528270029628,10000,-12168.31748046875,7391
18,19,gb1,0.075,Additive,0.4615759693466708,1.1732610874493685,10000,-18104.326171875,11104
19,20,gb1,0.075,Additive,0.47535550244362856,1.1758256298311964,10000,-18158.537890625,11150
20,21,gb1,0.075,Additive,0.4902234063506602,1.1629750043653737,10000,-18209.1365234375,11157
21,22,gb1,0.1,Additive,0.4897761979223571,1.1703765533367727,10000,-24423.301953125,14956
22,23,gb1,0.1,Additive,0.48235004012332394,1.172292361726462,10000,-24272.8603515625,14960
23,24,gb1,0.1,Additive,0.4754861846058643,1.1837031020797224,10000,-24363.7099609375,15066
24,25,gb1,0.125,Additive,0.47758396270895376,1.1635692692572792,10000,-30668.5537109375,18770
25,26,gb1,0.125,Additive,0.4749663287393204,1.1744590154178935,10000,-30211.0193359375,18544
26,27,gb1,0.125,Additive,0.4872758172115524,1.1673770154903451,10000,-30174.4376953125,18680
