,id,dataset,p_training,model,r2,rmse,n_test,mll,n_train
0,1,qtls_li_hq,0.001,Additive,0.03930781905304218,0.12255441497860868,10001,19.393456268310548,23
1,2,qtls_li_hq,0.001,Additive,0.03646130709947165,0.12496082577701854,10004,8.699188613891602,13
2,3,qtls_li_hq,0.001,Additive,0.013941333293562109,0.12415710708938661,10001,15.362970352172852,20
3,4,qtls_li_hq,0.0025,Additive,0.060477326291965595,0.1313515862320413,10002,51.156272888183594,49
4,5,qtls_li_hq,0.0025,Additive,0.08019619520025849,0.13113354690093207,10002,41.49109878540039,47
5,6,qtls_li_hq,0.0025,Additive,0.13369024441480762,0.10540657740077253,10001,44.7214958190918,56
6,7,qtls_li_hq,0.005,Additive,0.33026286126280757,0.10878473725085867,10004,93.3999008178711,113
7,8,qtls_li_hq,0.005,Additive,0.19486242551637917,0.11879338804991225,10003,87.78229217529297,105
8,9,qtls_li_hq,0.005,Additive,0.2170789156936099,0.11768941103057876,10002,85.68582153320312,103
9,10,qtls_li_hq,0.01,Additive,0.32509674396253746,0.11001102793283041,10002,177.05409545898436,195
10,11,qtls_li_hq,0.01,Additive,0.30593407805126344,0.11146101288214307,10003,186.4205291748047,205
11,12,qtls_li_hq,0.01,Additive,0.27291881949753705,0.11336868977597239,10004,207.42789306640626,213
12,13,qtls_li_hq,0.025,Additive,0.5947698068853475,0.0810092178823936,10002,479.3908935546875,481
13,14,qtls_li_hq,0.025,Additive,0.5819638207941215,0.08089430049459137,10003,452.89390869140624,466
14,15,qtls_li_hq,0.025,Additive,0.6043213751672037,0.07476224391082885,10002,468.7952514648438,498
15,16,qtls_li_hq,0.05,Additive,0.6637998190626522,0.06431453894552049,10005,1034.8124755859376,1036
16,17,qtls_li_hq,0.05,Additive,0.6484332629846452,0.07060910182245742,10005,1029.0593505859374,1018
17,18,qtls_li_hq,0.05,Additive,0.6621431827833876,0.0668561193700468,10004,1099.0571533203124,1044
18,19,qtls_li_hq,0.075,Additive,0.6667366927099344,0.06288586895050795,10003,1563.043701171875,1488
