,param,beta
0,c,-0.19553136680642963
1,0,-0.0013563538803569044
2,1,-0.0003991518126237611
3,2,0.001923142414277905
4,3,-0.0006807306289094375
5,4,-0.001071890393483598
6,5,-0.001670639128410221
7,6,-0.0022495163951645717
8,7,-0.003973065536239842
9,8,0.00019217681879041143
10,9,0.001049992512929393
11,10,0.000990343292108713
12,11,0.0010242110645897267
13,12,-0.06383886214305443
14,13,0.0003934678690924883
15,14,0.0022029970422531714
16,15,-0.0008488375479664977
17,16,-0.0010624845166082148
18,17,0.0005652840420534437
19,18,-9.226798158628251e-05
20,19,-0.001810440251461838
21,20,-0.00026773075313161863
22,21,0.0012839788513240248
23,22,0.0013045302347899912
24,23,-0.002694212309725023
25,24,0.001670165818882658
26,25,-0.0020596703976919293
27,26,0.00013544490650050278
28,27,-0.002151887368039302
29,28,-0.002380704886310212
30,29,-0.00208191070806367
31,30,-0.0003267315459217789
32,31,-0.00057945670019752
33,32,0.0024382341460115905
34,33,0.00041902609646751797
35,34,0.0021562814219860337
36,35,0.0008540649493280702
37,36,-5.490422327364819e-05
38,37,0.0014665078724661314
39,38,-0.00027003309333059177
40,39,0.006707589526770461
41,40,-0.00018110265895236952
42,41,0.002909988050775583
43,42,-0.0004439853954989165
44,43,0.010053426670243526
45,44,-0.0018929504819156407
46,45,0.0022633154147646216
47,46,-0.0012037628213723251
48,47,-0.004277684356783514
49,48,-0.0003990586474980921
50,49,0.0016196465565293896
51,50,0.0022906627952249035
52,51,0.006401061758654831
53,52,-0.0020056730519623436
54,53,-0.0005529081030244079
55,54,0.021842802051791163
56,55,-0.0013090942181916883
57,56,-0.0031778205238048585
58,57,0.00877250386560989
59,58,-0.00037845500241075804
60,59,0.0009292202075491464
61,60,0.0031778603661152117
62,61,-0.0016147972511469358
63,62,6.48291135248157e-05
64,63,0.003092531543612473
65,64,-0.0006031135849057453
66,65,-0.004236276258731565
67,66,-0.0003976084903924188
68,67,-0.0015637857518068722
69,68,0.004464087686452125
70,69,0.01889555415929732
71,70,0.00148345472178262
72,71,0.0008625676930181707
73,72,0.0002719700523653311
74,73,0.004963386230836312
75,74,-0.0015304471284734345
76,75,-0.0070201391991343365
77,76,-0.0030169981565308407
78,77,-0.010526539838528423
79,78,5.668974283631719e-05
80,79,-0.0005030758709457157
81,80,0.0019233787081563037
82,81,-0.002153051884757267
83,82,-0.002529224905783824
84,0_1,-3.150477246349242e-08
85,0_2,4.794633789541397e-08
86,0_3,2.3190563454344875e-08
87,0_4,1.1653008418686357e-08
88,0_5,-4.823465656916089e-08
89,0_6,-3.3809262716221013e-10
90,0_7,1.2903063022928689e-08
91,0_8,2.1441224836491012e-08
92,0_9,-3.827501273865282e-08
93,0_10,-4.531952012570299e-08
94,0_11,-1.0815314761952907e-08
95,0_12,8.010641275176031e-09
96,0_13,-2.863408475703354e-08
97,0_14,4.001307134833641e-08
98,0_15,-9.888697988715769e-09
99,0_16,1.6475854760838892e-08
100,0_17,-1.3079650607442847e-08
101,0_18,-2.0765357691444138e-08
102,0_19,-1.8281888854128127e-08
103,0_20,-8.065234224706333e-08
104,0_21,-6.137782982698154e-08
105,0_22,-6.754671087127697e-08
106,0_23,-2.092602632442766e-08
107,0_24,-3.9107479910804335e-08
108,0_25,-2.0019315716768958e-08
109,0_26,-6.5516528060777764e-09
110,0_27,2.3090586715129756e-08
111,0_28,-1.0986952912573078e-08
112,0_29,-3.851233676362709e-08
113,0_30,-1.5443292568189415e-08
114,0_31,-4.457406219934126e-08
115,0_32,1.1610727392143594e-08
116,0_33,2.7834766331006436e-08
117,0_34,4.6971993747159166e-08
118,0_35,-5.087131021257406e-08
119,0_36,-9.341932816213931e-08
120,0_37,-2.3468717685751874e-08
121,0_38,3.495768602710585e-08
122,0_39,3.254306870039752e-08
123,0_40,-1.1222020447794917e-08
124,0_41,1.5199634945824507e-08
125,0_42,4.188711342456348e-08
126,0_43,-4.957161464185772e-08
127,0_44,-3.9252897356096884e-08
128,0_45,3.612178048245838e-08
129,0_46,-6.41699611851009e-09
130,0_47,2.71242845940548e-08
131,0_48,3.07229497962454e-08
132,0_49,-5.980931704396777e-09
133,0_50,1.1301727093072074e-11
134,0_51,-1.9878234311310736e-09
135,0_52,-6.806196811195938e-09
