,id,dataset,p_training,model,r2,rmse,n_test,mll,n_train
0,1,smn1,0.001,Additive,0.07910449750752345,23.690835385950074,10000,,31
1,2,smn1,0.001,Additive,0.030749840654741855,26.65671996653433,10000,,28
2,3,smn1,0.001,Additive,0.008945588036530143,21.79237272965955,10000,,27
3,4,smn1,0.0025,Additive,0.04824676934355239,20.976511836223672,10000,,72
4,5,smn1,0.0025,Additive,0.0023873241077848706,21.816523321255257,10000,,78
5,6,smn1,0.0025,Additive,0.07209253418684079,24.628344353893535,10000,-373.9145111083984,71
6,7,smn1,0.005,Additive,0.10529818525627918,20.547070897987616,10000,-651.4434204101562,142
7,8,smn1,0.005,Additive,0.08261078418929854,20.362038884541043,10000,-665.1728881835937,151
8,9,smn1,0.005,Additive,0.09209805673640989,20.0893507541098,10000,-809.0880615234375,184
9,10,smn1,0.01,Additive,0.0664426425658193,19.764810134081344,10000,-1411.3969848632812,320
10,11,smn1,0.01,Additive,0.11449882127931542,19.993819473914776,10000,-1371.840478515625,295
11,12,smn1,0.01,Additive,0.11574649383100075,20.187883253400585,10000,-1256.363720703125,292
12,13,smn1,0.025,Additive,0.1369194709358617,19.640782799772698,10000,-3317.2615234375,739
13,14,smn1,0.025,Additive,0.13589992801338038,19.942557178408247,10000,-3544.682861328125,802
14,15,smn1,0.025,Additive,0.14019294544634212,19.641353134556045,10000,-3723.662939453125,798
15,16,smn1,0.05,Additive,0.14623832243836912,19.059101114112213,10000,-6972.079248046875,1512
16,17,smn1,0.05,Additive,0.14567903416877143,19.1055788095623,10000,-6839.212353515625,1512
17,18,smn1,0.05,Additive,0.14039458290933782,19.70141107966256,10000,-7098.03828125,1546
18,19,smn1,0.075,Additive,0.1464043626104239,19.441997631509416,10000,-10726.766015625,2391
19,20,smn1,0.075,Additive,0.1414571966790148,19.22611503057938,10000,-10254.234375,2248
20,21,smn1,0.075,Additive,0.14894327630990548,19.869954750556964,10000,-10832.4826171875,2434
21,22,smn1,0.1,Additive,0.1428662289927836,19.12199368995738,10000,-13941.1787109375,3117
22,23,smn1,0.1,Additive,0.14547246276241027,19.83828747096024,10000,-13964.5154296875,3139
23,24,smn1,0.1,Additive,0.15735451616822566,19.12345844933579,10000,-13956.304296875,3029
24,25,smn1,0.125,Additive,0.13779039075372457,19.695547979901775,10000,-16901.53046875,3748
25,26,smn1,0.125,Additive,0.15065403833361476,19.540710463259572,10000,-17600.4103515625,3887
26,27,smn1,0.125,Additive,0.13936599742610561,18.780394174358683,10000,-17409.22109375,3820
27,28,smn1,0.15,Additive,0.15311256292962466,19.224132672517573,10000,-20508.785546875,4568
28,29,smn1,0.15,Additive,0.14741995976360248,18.557162282513794,10000,-21598.5931640625,4706
29,30,smn1,0.15,Additive,0.1365621142884301,18.618349512793806,10000,-21378.855078125,4726
30,31,smn1,0.175,Additive,0.16582188690162492,19.481580577276198,10000,-23804.165234375,5357
31,32,smn1,0.175,Additive,0.1530014666258033,19.71989374584623,10000,-24282.43125,5396
32,33,smn1,0.175,Additive,0.14971779503902335,19.40528043958731,10000,-24033.702734375,5423
33,34,smn1,0.2,Additive,0.14717012767817156,19.403382249217223,10000,-27443.798828125,6071
34,35,smn1,0.2,Additive,0.1551769362257418,19.30635694152298,10000,-27337.6171875,6056
35,36,smn1,0.2,Additive,0.14458382022382862,19.328630680492232,10000,-26828.876171875,6080
36,37,smn1,0.25,Additive,0.1397692055704925,18.873080815801696,10000,-34325.880078125,7626
37,38,smn1,0.25,Additive,0.14790566831408883,19.58326713854134,10000,-34965.1515625,7761
38,39,smn1,0.25,Additive,0.14593634668558458,18.970398522627903,10000,-34867.715625,7641
39,40,smn1,0.3,Additive,0.1523839679056353,19.31019168891676,10000,-41122.33203125,9073
40,41,smn1,0.3,Additive,0.15558083979705561,19.910206186583608,10000,-41698.49453125,9281
41,42,smn1,0.3,Additive,0.15555173621390536,18.844154045825668,10000,-41081.911328125,9133
42,43,smn1,0.4,Additive,0.153684813279872,19.585674472642022,10000,-55534.94921875,12407
43,44,smn1,0.4,Additive,0.1559465343573697,19.611110472324803,10000,-55982.549609375,12379
44,45,smn1,0.4,Additive,0.14092295856297454,19.55326448085922,10000,-54982.459765625,12252
45,46,smn1,0.5,Additive,0.16608620461995405,20.000006601234688,10000,-68654.315625,15322
46,47,smn1,0.5,Additive,0.14784985701016576,18.942588940729642,10000,-68952.709375,15318
47,48,smn1,0.5,Additive,0.14011354780745164,19.013760116046836,10000,-69941.94765625,15444
48,49,smn1,0.6,Additive,0.13886487843514933,18.37364344991234,10000,-83981.7125,18411
49,50,smn1,0.6,Additive,0.1534429936640427,19.355904156665034,10000,-83111.42109375,18413
50,51,smn1,0.6,Additive,0.15531653097471396,19.783547197224102,10000,-82739.809375,18409
51,52,smn1,0.7,Additive,0.1532669356310993,19.40291526180342,9182,-97020.81328125,21550
52,53,smn1,0.7,Additive,0.14265002243171354,19.004581966877176,9302,-96753.46875,21430
53,54,smn1,0.7,Additive,0.1548384427935209,19.213391610065514,9115,-97525.6703125,21617
54,55,smn1,0.8,Additive,0.156372925297994,19.279971925177954,6269,-110184.70859375,24463
55,56,smn1,0.8,Additive,0.14733928186628237,18.763233074940906,6305,-110419.4703125,24427
56,57,smn1,0.8,Additive,0.16235621372807088,20.230763459489502,6169,-110271.9578125,24563
57,58,smn1,0.9,Additive,0.1371815648960544,18.06696527120491,3143,-124694.7,27589
58,59,smn1,0.9,Additive,0.12647793106442254,19.223896988792134,3085,-124653.3421875,27647
59,60,smn1,0.9,Additive,0.14616464231744367,19.288077825690692,3136,-124379.6734375,27596
60,1,smn1,0.001,Global epistasis,0.03807637324494863,34.37092978903371,10000,,31
61,2,smn1,0.001,Global epistasis,0.015598540086501536,58.35871812129199,10000,,28
62,3,smn1,0.001,Global epistasis,0.04488341834743489,21.99198049066579,10000,,27
63,4,smn1,0.0025,Global epistasis,0.07220964699944242,28.201331870491117,10000,,72
64,5,smn1,0.0025,Global epistasis,0.00985496285227448,23.014120813283125,10000,,78
65,6,smn1,0.0025,Global epistasis,0.001029637412039799,37.05102484570493,10000,,71
66,7,smn1,0.005,Global epistasis,0.027238142100000928,30.91906206474857,10000,,142
67,8,smn1,0.005,Global epistasis,0.03461068320139443,35.73950861355981,10000,,151
68,9,smn1,0.005,Global epistasis,0.10653541711799626,37.13322793878026,10000,,184
69,10,smn1,0.01,Global epistasis,0.011237831830077583,27.695201165049337,10000,,320
70,11,smn1,0.01,Global epistasis,0.2256843036259915,21.42294252458827,10000,,295
71,12,smn1,0.01,Global epistasis,0.20406324292492523,21.911379411023617,10000,,292
72,13,smn1,0.025,Global epistasis,0.41245445346861964,16.931199675127008,10000,,739
73,14,smn1,0.025,Global epistasis,0.3344154017317058,19.072755718613784,10000,,802
74,15,smn1,0.025,Global epistasis,0.45824008705024133,16.43965190063812,10000,,798
75,16,smn1,0.05,Global epistasis,0.4736077565050732,15.710961042594807,10000,,1512
76,17,smn1,0.05,Global epistasis,0.523010141515813,14.840387550226003,10000,,1512
77,18,smn1,0.05,Global epistasis,0.4099622030915879,17.4355276913507,10000,,1546
78,19,smn1,0.075,Global epistasis,0.5622716623413355,14.094391708008915,10000,,2391
79,20,smn1,0.075,Global epistasis,0.5072799425653504,15.02542138004449,10000,,2248
80,21,smn1,0.075,Global epistasis,0.564362392564625,14.260211547971851,10000,,2434
81,22,smn1,0.1,Global epistasis,0.4978609094177342,14.865732669518852,10000,,3117
82,23,smn1,0.1,Global epistasis,0.5056758234860499,15.597054671952968,10000,,3139
83,24,smn1,0.1,Global epistasis,0.5426424329233206,14.18207350491363,10000,,3029
84,25,smn1,0.125,Global epistasis,0.542423969331332,14.387526122572531,10000,,3748
85,26,smn1,0.125,Global epistasis,0.5424256489464748,14.450368178998819,10000,,3887
86,27,smn1,0.125,Global epistasis,0.4740207099035996,14.912424821366791,10000,,3820
87,28,smn1,0.15,Global epistasis,0.5566428442034403,13.970996789282266,10000,,4568
88,29,smn1,0.15,Global epistasis,0.5611624240483816,13.74866141898438,10000,,4706
89,30,smn1,0.15,Global epistasis,0.5082445316408896,14.235841016135595,10000,,4726
90,31,smn1,0.175,Global epistasis,0.5550563498481635,14.326485524071005,10000,,5357
91,32,smn1,0.175,Global epistasis,0.5577465726467635,14.302415175118409,10000,,5396
92,33,smn1,0.175,Global epistasis,0.5231033181904866,14.618616911370667,10000,,5423
93,34,smn1,0.2,Global epistasis,0.5673194838628913,13.914779970741485,10000,,6071
94,35,smn1,0.2,Global epistasis,0.5973158756756587,13.399432943565182,10000,,6056
95,36,smn1,0.2,Global epistasis,0.5161425786473477,14.55163596044833,10000,,6080
96,37,smn1,0.25,Global epistasis,0.5394073233047798,13.835747030186953,10000,,7626
97,38,smn1,0.25,Global epistasis,0.5576859251546409,14.191301052927573,10000,,7761
98,39,smn1,0.25,Global epistasis,0.589318429936299,13.171441276157456,10000,,7641
99,40,smn1,0.3,Global epistasis,0.5554636809041243,14.032004661916359,10000,,9073
100,41,smn1,0.3,Global epistasis,0.5889269672035121,13.878089536882669,10000,,9281
101,42,smn1,0.3,Global epistasis,0.6015110258892284,12.94856990237345,10000,,9133
102,43,smn1,0.4,Global epistasis,0.5844235485073903,13.746994625328114,10000,,12407
103,44,smn1,0.4,Global epistasis,0.6009131966347284,13.50900201991224,10000,,12379
104,45,smn1,0.4,Global epistasis,0.5645595607425025,13.933147370821297,10000,,12252
105,46,smn1,0.5,Global epistasis,0.6249496620342627,13.376109531918166,10000,,15322
106,47,smn1,0.5,Global epistasis,0.5918852295215812,13.119333050136305,10000,,15318
107,48,smn1,0.5,Global epistasis,0.5726833048981694,13.424613817754484,10000,,15444
108,49,smn1,0.6,Global epistasis,0.5776467767136068,12.878304546781889,10000,,18411
109,50,smn1,0.6,Global epistasis,0.6272933080276388,12.84757517282713,10000,,18413
110,51,smn1,0.6,Global epistasis,0.6015861268867775,13.594076663214741,10000,,18409
111,52,smn1,0.7,Global epistasis,0.6211229342363013,12.982082726788827,9182,,21550
112,53,smn1,0.7,Global epistasis,0.5947181201543992,13.084905809590605,9302,,21430
113,54,smn1,0.7,Global epistasis,0.6262197533814605,12.777989425723325,9115,,21617
114,55,smn1,0.8,Global epistasis,0.6282618478302726,12.802649811285635,6269,,24463
115,56,smn1,0.8,Global epistasis,0.6339286026641319,12.304774038638138,6305,,24427
116,57,smn1,0.8,Global epistasis,0.6220414304822093,13.56323768340848,6169,,24563
117,58,smn1,0.9,Global epistasis,0.5918340056512578,12.527354746890923,3143,,27589
118,59,smn1,0.9,Global epistasis,0.5456934228057542,13.884173027749672,3085,,27647
119,60,smn1,0.9,Global epistasis,0.5978508153751685,13.23950838488317,3136,,27596
120,1,smn1,0.001,Pairwise,0.056543047688253925,21.5177390141998,10000,-146.69703521728516,31
121,2,smn1,0.001,Pairwise,0.12461636958967921,21.020063294392536,10000,-128.86313018798828,28
122,3,smn1,0.001,Pairwise,0.011638275247192093,21.704509997319647,10000,-85.66305007934571,27
123,4,smn1,0.0025,Pairwise,0.1408119058949177,19.79600004158372,10000,-329.7652587890625,72
124,5,smn1,0.0025,Pairwise,0.009994852461222628,21.40562678818084,10000,-258.1083679199219,78
125,6,smn1,0.0025,Pairwise,0.14016313691496005,20.84221386974316,10000,-331.1047119140625,71
126,7,smn1,0.005,Pairwise,0.18075209132456385,19.300403329285437,10000,-626.7157958984375,142
127,8,smn1,0.005,Pairwise,0.1674991284435267,19.421122817760356,10000,-649.3580871582031,151
128,9,smn1,0.005,Pairwise,0.19685947339824064,18.919455130077242,10000,-797.6813354492188,184
129,10,smn1,0.01,Pairwise,0.1586760747629768,19.01108144411111,10000,-1371.4136840820313,320
130,11,smn1,0.01,Pairwise,0.3022536238029432,17.901768168235115,10000,-1295.873681640625,295
131,12,smn1,0.01,Pairwise,0.27136145487766117,18.305748802060872,10000,-1239.8392578125,292
132,13,smn1,0.025,Pairwise,0.3667661904080044,16.82514570150465,10000,-3226.759619140625,739
133,14,smn1,0.025,Pairwise,0.36716678998157964,17.028055816809072,10000,-3398.7137939453123,802
134,15,smn1,0.025,Pairwise,0.3870195786353656,16.730078823829736,10000,-3521.3669921875,798
135,16,smn1,0.05,Pairwise,0.4322331509277753,15.57162086904935,10000,-6552.945947265625,1512
136,17,smn1,0.05,Pairwise,0.38792350262660363,16.126697492224018,10000,-6547.056787109375,1512
137,18,smn1,0.05,Pairwise,0.42808329202326967,16.113567785413487,10000,-6708.17158203125,1546
138,19,smn1,0.075,Pairwise,0.448532141581977,15.635521115215777,10000,-10090.7052734375,2391
139,20,smn1,0.075,Pairwise,0.4379335355939058,15.58039409001607,10000,-9589.77080078125,2248
140,21,smn1,0.075,Pairwise,0.4402030558033843,16.123640539715343,10000,-10169.04580078125,2434
141,22,smn1,0.1,Pairwise,0.442730122012314,15.427564055897504,10000,-13147.02900390625,3117
142,23,smn1,0.1,Pairwise,0.44489447848512725,15.997151172662,10000,-13214.2015625,3139
143,24,smn1,0.1,Pairwise,0.4655281054950579,15.262550278937034,10000,-13042.84658203125,3029
144,25,smn1,0.125,Pairwise,0.4475029657663633,15.769958619790003,10000,-15894.43623046875,3748
145,26,smn1,0.125,Pairwise,0.46306431079532545,15.527769558230982,10000,-16579.3791015625,3887
146,27,smn1,0.125,Pairwise,0.44400573508577723,15.085376556691525,10000,-16191.3783203125,3820
147,28,smn1,0.15,Pairwise,0.4684462703106604,15.246460695590983,10000,-19257.8099609375,4568
148,29,smn1,0.15,Pairwise,0.460645868707416,14.793604363208143,10000,-20206.0966796875,4706
149,30,smn1,0.15,Pairwise,0.43777680923140766,15.025546959135744,10000,-19997.355078125,4726
150,31,smn1,0.175,Pairwise,0.48584762249504787,15.286285454572697,10000,-22484.11796875,5357
151,32,smn1,0.175,Pairwise,0.4626068401748595,15.69532825848031,10000,-22761.4388671875,5396
152,33,smn1,0.175,Pairwise,0.46036708553027594,15.461544723203877,10000,-22606.984765625,5423
153,34,smn1,0.2,Pairwise,0.4720286428299797,15.280817786324532,10000,-25591.4875,6071
154,35,smn1,0.2,Pairwise,0.4782698527516546,15.169283463706794,10000,-25586.712890625,6056
155,36,smn1,0.2,Pairwise,0.4615518104349231,15.36310064508335,10000,-25195.1861328125,6080
156,37,smn1,0.25,Pairwise,0.4531119728397351,15.045440698637522,10000,-31986.9765625,7626
157,38,smn1,0.25,Pairwise,0.46572352560333946,15.503959367790825,10000,-32493.071875,7761
158,39,smn1,0.25,Pairwise,0.4609482887748199,15.075588031839123,10000,-32340.9185546875,7641
159,40,smn1,0.3,Pairwise,0.47600010552114597,15.189159040153926,10000,-38237.625,9073
160,41,smn1,0.3,Pairwise,0.4821449458222365,15.622592809416968,10000,-38985.4921875,9281
161,42,smn1,0.3,Pairwise,0.47989514651686505,14.790811941195246,10000,-38296.2765625,9133
162,43,smn1,0.4,Pairwise,0.4861524090189465,15.287856192981636,10000,-51865.389453125,12407
163,44,smn1,0.4,Pairwise,0.482848492333604,15.364255181554173,10000,-52116.113671875,12379
164,45,smn1,0.4,Pairwise,0.46544482212285126,15.423940735809381,10000,-51147.70546875,12252
165,46,smn1,0.5,Pairwise,0.49612753910676083,15.55840802349553,10000,-63975.438671875,15322
166,47,smn1,0.5,Pairwise,0.4691257665794471,14.951083982154312,10000,-64120.119140625,15318
167,48,smn1,0.5,Pairwise,0.4609002185434418,15.053621321198642,10000,-64808.15234375,15444
168,49,smn1,0.6,Pairwise,0.45088109529329046,14.677737697589722,10000,-77536.0734375,18411
169,50,smn1,0.6,Pairwise,0.47601351230226,15.225289976138189,10000,-77093.04609375,18413
170,51,smn1,0.6,Pairwise,0.47898063657845324,15.547724311117404,10000,-76751.36640625,18409
171,52,smn1,0.7,Pairwise,0.4764366558328495,15.257323033169492,9182,-89994.99375,21550
172,53,smn1,0.7,Pairwise,0.46500333962899093,15.019876623732415,9302,-89680.21953125,21430
173,54,smn1,0.7,Pairwise,0.4874481660269655,14.973786414343206,9115,-90512.7265625,21617
174,55,smn1,0.8,Pairwise,0.4913442467592978,14.979719523441377,6269,-102261.17421875,24463
175,56,smn1,0.8,Pairwise,0.47470575331800313,14.727298760335865,6305,-102314.51328125,24427
176,57,smn1,0.8,Pairwise,0.49058134622815813,15.776653396971938,6169,-102374.39375,24563
177,58,smn1,0.9,Pairwise,0.4483646697619391,14.473805515434963,3143,-115435.7609375,27589
178,59,smn1,0.9,Pairwise,0.4719256067616674,14.942082798130263,3085,-115577.3234375,27647
179,60,smn1,0.9,Pairwise,0.492230410460369,14.901330697814174,3136,-115349.5625,27596
180,1,smn1,0.001,Variance Component,0.07168887697935239,21.428057059751122,10000,-147.30608367919922,31
181,2,smn1,0.001,Variance Component,0.06785108586955468,21.194607311302587,10000,-131.80086212158204,28
182,3,smn1,0.001,Variance Component,0.010964520621758603,21.706518233856624,10000,-85.52055892944335,27
183,4,smn1,0.0025,Variance Component,0.09415612265732189,20.632753039483717,10000,-331.9400909423828,72
184,5,smn1,0.0025,Variance Component,0.013758322420890076,21.352256558877514,10000,-257.1730438232422,78
185,6,smn1,0.0025,Variance Component,0.16001675983404381,19.283797268054002,10000,-338.5499206542969,71
186,7,smn1,0.005,Variance Component,0.18504879448793743,19.3267656317607,10000,-629.5858581542968,142
187,8,smn1,0.005,Variance Component,0.16267965065122678,19.71631928967075,10000,-651.1206359863281,151
188,9,smn1,0.005,Variance Component,0.19810755329882873,18.946992441602614,10000,-797.4084228515625,184
189,10,smn1,0.01,Variance Component,0.16450441699191667,18.695833616951322,10000,-1366.9291137695313,320
190,11,smn1,0.01,Variance Component,0.30197172134751293,17.748284417366644,10000,-1293.29501953125,295
191,12,smn1,0.01,Variance Component,0.27102047753535535,18.7408742967841,10000,-1234.8542114257812,292
192,13,smn1,0.025,Variance Component,0.37675996764602526,16.79063929753919,10000,-3195.179541015625,739
